Target value of 0 = negative
Target value of 1 = positive
Target value of u = unclassified(Advanced Classification Method)

Well,Target 1,Target 2,Target 3,Count,Ch1 Mean,Ch1 StdDev,Ch2 Mean,Ch2 StdDev
G02,0,0,0,11221,357.450621840597,26.4109653045489,1023.160002528,91.9703598221162,
G02,1,0,0,6,1404.95689900716,483.384339403861,997.029652913411,76.3638699304355,
G02,0,1,0,40,381.398105621338,79.9953672347091,3567.35692749023,302.773756036396,
G02,1,1,0,10,1349.41244506836,466.709278294014,3886.09484863281,378.237254371596,
G02,0,0,1,47,321.03198274653,96.3406898567133,6103.46968500665,462.829195283964,
G02,1,0,1,36,1484.93852572971,357.505214100498,6328.00141059028,586.738653318836,
G02,0,1,1,5,352.006155395508,150.227476038145,8535.5650390625,356.604840551264,
G02,1,1,1,740,1345.71892914643,211.715910737456,9096.05999986803,580.171455373386,
H01,0,0,0,11553,361.805192601182,27.5815070127717,1339.83035795796,166.199144664091,
H01,1,0,0,3,1215.82981363932,704.911058706413,1264.46036783854,60.3253753001791,
H01,0,0,1,1,386.182739257813,0,6725.69580078125,0,
H01,1,1,1,3,1368.1513264974,203.400770411743,8829.18522135417,403.577895647655,
H02,0,0,0,12479,351.422155479751,25.6457421662985,1007.79148694171,84.15670473122,
H02,1,0,0,76,1811.48335105494,311.437146028569,1059.17699713456,196.020381211611,
H02,0,1,0,101,353.290063234839,27.6764118782868,3493.70729714573,248.540159902794,
H02,1,1,0,12,1695.59110514323,198.246971226255,3745.14471435547,168.475321429352,
H02,0,0,1,91,295.956132155198,35.3258929687379,6077.03882104224,356.960132414187,
H02,1,0,1,54,1473.04935031467,181.165172410616,6322.93187572338,288.978661297695,
H02,0,1,1,35,221.155765206473,36.1260497073189,9008.6056640625,407.524325396039,
H02,1,1,1,9,1410.18980577257,185.550501187412,9149.95203993055,435.777327958309,
