Target value of 0 = negative
Target value of 1 = positive
Target value of u = unclassified(Advanced Classification Method)

Well,Target 1,Target 2,Target 3,Count,Ch1 Mean,Ch1 StdDev,Ch2 Mean,Ch2 StdDev
B02,1,1,0,328,21194.5255990377,1171.43769251139,948.253367726396,165.146791662815,
B02,0,0,1,1478,931.019316759742,86.1882659486474,6587.87806034733,352.893644997933,
B02,1,0,1,343,8878.03934294142,680.860556102039,6935.26714536261,357.017088024441,
B02,0,1,1,3720,13462.5092487294,532.924409245344,6874.46930089151,351.897103676011,
B02,1,1,1,848,21052.3628090912,1018.15461692728,7106.68580944133,390.543794270476,
C01,0,0,0,3023,985.895411141535,52.7876300078277,871.97031107053,71.1320408533234,
C01,1,0,0,10,8450.0138671875,1815.1146774631,693.911627197266,218.985590944041,
C01,0,1,0,1511,13381.9143436414,612.316727840239,811.723921628759,149.236232559113,
C01,0,0,1,1727,911.35074773191,51.6099155910187,6574.22382846428,414.46320963661,
C01,1,0,1,16,7901.83709716797,2296.92539640313,6528.46313476563,431.008518177597,
C01,0,1,1,5612,13491.5134073748,608.073110683363,6856.68681225603,417.08603254592,
C02,0,0,0,5145,1005.99625280323,54.7385423979495,890.663248798752,68.7178549274966,
C02,1,0,0,2,6363.38793945313,1015.80412114925,819.815063476563,213.393035694631,
C02,0,1,0,937,13441.8446734092,591.904879850708,845.844453891034,137.475070315548,
C02,0,0,1,913,935.484878790731,55.3247199182266,6622.81505344888,415.726407038692,
C02,1,0,1,5,9341.62509765625,1353.46885647359,6782.62646484375,259.264359214699,
C02,0,1,1,5581,13500.3322678227,636.958481877677,6908.90056000549,418.072409839231,
D01,0,0,0,2611,999.001942535599,77.0664025286667,884.890740688621,70.4383543515331,
D01,1,0,0,5,8637.94013671875,2048.774933194,674.840112304688,209.573379675077,
D01,0,1,0,1359,13498.2534384485,734.794097805613,833.888045018346,162.087388057161,
D01,1,1,0,3,18639.6412760417,2813.31380360282,1142.23752848307,297.408084724615,
D01,0,0,1,1367,926.829168312726,77.3571174865835,6624.38917605129,457.91699378279,
D01,1,0,1,14,6469.70514787946,1515.90359365643,6690.0186593192,410.472641098953,
D01,0,1,1,4256,13555.1823973692,650.297041897709,6918.91631535121,447.441823721981,
D02,0,0,0,1,1925.63989257813,0,1855.46459960938,0,
D02,0,1,1,9188,13325.0215168456,553.73708616133,6877.902746311,374.218262818582,
D02,1,1,1,1,20260.119140625,0,7082.31591796875,0,
E01,0,0,0,2892,1006.90535254894,53.8132262432904,897.770604134925,80.1935044306622,
E01,1,0,0,3,9985.51432291667,1105.61226559571,667.80185953776,229.962927745578,
E01,0,1,0,1538,13717.221454913,700.372470892384,856.722374448541,139.964208364074,
E01,0,0,1,1490,932.364361285523,76.2763573175721,6708.40866846686,460.33927810087,
E01,1,0,1,12,7452.04418945313,2379.35717044488,6945.71085611979,414.42014916325,
E01,0,1,1,5036,13648.5672234133,707.521104806021,6982.19808288526,464.754002457025,
E02,0,0,0,1790,1008.51908884741,87.0044566213269,891.299692181635,86.6964527041587,
E02,1,0,0,9,7140.31537543403,2103.2735638743,532.605217827691,283.084237188045,
E02,0,1,0,1753,13437.457383325,759.129250599007,845.566594578101,148.660064820306,
E02,1,1,0,1,17269.81640625,0,1442.90832519531,0,
E02,0,0,1,1795,939.324464318746,73.8122070120132,6572.52851426489,455.466387372667,
E02,1,0,1,9,7538.21061197917,1958.14761952511,6735.97081163194,475.332799592939,
E02,0,1,1,6454,13453.7737601711,747.301162361302,6864.31975854969,491.040767949081,
F01,0,0,0,3181,995.577684034907,44.5116416930921,884.963774013429,71.3808312985736,
F01,1,0,0,9,7998.82554796007,2275.98840844689,826.001512315538,91.1438206854859,
F01,0,1,0,1451,13450.2269144932,494.321932510886,799.41087260335,125.947232282629,
F01,0,0,1,1655,926.493247372722,71.3950060803983,6612.18028553389,377.050455478458,
F01,1,0,1,22,8052.50361772017,1766.99496199244,6626.56070223722,359.794490738439,
F01,0,1,1,5674,13594.954520999,569.709583662925,6905.56186770418,397.716197218843,
F02,0,0,0,14104,1016.03963786367,43.214715572476,898.438656037191,62.4684297202081,
G01,0,0,0,3039,1017.51015558522,48.0606871068082,906.654216478906,67.6866584546089,
G01,1,0,0,6,6522.97184244792,2054.62233346962,694.532089233398,255.830542609568,
G01,0,1,0,1534,13810.9099066982,708.088792848883,866.673632605601,171.603691497413,
G01,0,0,1,1578,943.896200627277,82.5920193763608,6744.31755470112,470.738111553832,
G01,1,0,1,11,8222.37810724432,2076.90297896693,6905.55615234375,393.716128548086,
G01,0,1,1,4921,13788.0260012494,715.764467548029,7048.3557988186,474.069728124811,
G01,1,1,1,1,22206.3515625,0,7758.3291015625,0,
G02,0,0,0,14038,987.064231775819,48.8575039478672,863.667005446277,67.4582219640788,
H01,0,0,0,2472,995.048186576868,48.3740212431304,876.45554264155,61.9988317479522,
H01,1,0,0,2,9654.20166015625,857.16464573665,850.629669189453,29.0212867810509,
H01,0,1,0,1636,13444.1844521222,615.120478667058,809.946454260343,148.834016545207,
H01,0,0,1,1629,929.453409493518,108.060020226918,6556.24076851692,375.72998522287,
H01,1,0,1,21,7818.64202008929,2232.73058299389,6645.89555431548,388.179403990536,
H01,0,1,1,6291,13481.1933806417,578.766375588523,6836.21741601656,392.906110244127,
H02,0,0,0,15305,1014.66390538781,43.7840305836947,896.40862995635,60.336279601374,
